"","DROPDOWN KOTA/KAB ALAMAT KTP dan ASAL PENGCAB","","","DROPDOWN KELAHIRAN","","","No","Handball/Umum","Kelompok Status","Nama Profesi","Sumber","","","","","","","","","",""
"129","Kab. Jember","Jawa Timur","","Gresik","Jawa Timur","","","","","","","","","","","","","","","",""
"130","Kab. Jembrana","Bali","","Grobogan","Jawa Tengah","","","","","","","","","","","","","","","",""
"131","Kab. Jeneponto","Sulawesi Selatan","","Gunung Mas","Kalimantan Tengah","","","","","","","","","","","","","","","",""
"132","Kab. Jepara","Jawa Tengah","","Gunungkidul","DI Yogyakarta","","","","","","","","","","","","","","","",""
"133","Kab. Jombang","Jawa Timur","","Gunungsitoli","Sumatera Utara","","","","","","","","","","","","","","","",""
"134","Kab. Kaimana","Papua Barat","","Halmahera Barat","Maluku Utara","","","","","","","","","","","","","","","",""
"135","Kab. Kampar","Riau","","Halmahera Selatan","Maluku Utara","","","","","","","","","","","","","","","",""
"136","Kab. Kapuas","Kalimantan Tengah","","Halmahera Tengah","Maluku Utara","","","","","","","","","","","","","","","",""
"137","Kab. Kapuas Hulu","Kalimantan Barat","","Halmahera Timur","Maluku Utara","","","","","","","","","","","","","","","",""
"138","Kab. Karanganyar","Jawa Tengah","","Halmahera Utara","Maluku Utara","","","","","","","","","","","","","","","",""
"139","Kab. Karangasem","Bali","","Hulu Sungai Selatan","Kalimantan Selatan","","","","","","","","","","","","","","","",""
"140","Kab. Karawang","Jawa Barat","","Hulu Sungai Tengah","Kalimantan Selatan","","","","","","","","","","","","","","","",""
"141","Kab. Karimun","Kep. Riau","","Hulu Sungai Utara","Kalimantan Selatan","","","","","","","","","","","","","","","",""
"142","Kab. Karo","Sumatera Utara","","Humbang Hasundutan","Sumatera Utara","","","","","","","","","","","","","","","",""
"143","Kab. Katingan","Kalimantan Tengah","","Indragiri Hilir","Riau","","","","","","","","","","","","","","","",""
"144","Kab. Kaur","Bengkulu","","Indragiri Hulu","Riau","","","","","","","","","","","","","","","",""
"145","Kab. Kayong Utara","Kalimantan Barat","","Indramayu","Jawa Barat","","","","","","","","","","","","","","","",""
"146","Kab. Kebumen","Jawa Tengah","","Intan Jaya","Papua Tengah","","","","","","","","","","","","","","","",""
"147","Kab. Kediri","Jawa Timur","","Jakarta Barat","DKI Jakarta","","","","","","","","","","","","","","","",""
"148","Kab. Keerom","Papua","","Jakarta Pusat","DKI Jakarta","","","","","","","","","","","","","","","",""
"149","Kab. Kendal","Jawa Tengah","","Jakarta Selatan","DKI Jakarta","","","","","","","","","","","","","","","",""
"150","Kab. Kepahiang","Bengkulu","","Jakarta Timur","DKI Jakarta","","","","","","","","","","","","","","","",""
"151","Kab. Kep. Anambas","Kep. Riau","","Jakarta Utara","DKI Jakarta","","","","","","","","","","","","","","","",""
"152","Kab. Kep. Aru","Maluku","","Jambi","Jambi","","","","","","","","","","","","","","","",""
"153","Kab. Kep. Mentawai","Sumatera Barat","","Jayapura","Papua","","","","","","","","","","","","","","","",""
"154","Kab. Kep. Meranti","Riau","","Jayawijaya","Papua Pegunungan","","","","","","","","","","","","","","","",""
"155","Kab. Kep. Sangihe","Sulawesi Utara","","Jember","Jawa Timur","","","","","","","","","","","","","","","",""
"156","Kab. Kep. Selayar","Sulawesi Selatan","","Jembrana","Bali","","","","","","","","","","","","","","","",""
"157","Kab. Kep. Siau Tagulandang Biaro","Sulawesi Utara","","Jeneponto","Sulawesi Selatan","","","","","","","","","","","","","","","",""
"158","Kab. Kep. Sula","Maluku Utara","","Jepara","Jawa Tengah","","","","","","","","","","","","","","","",""
"159","Kab. Kep. Talaud","Sulawesi Utara","","Jombang","Jawa Timur","","","","","","","","","","","","","","","",""
"160","Kab. Kep. Tanimbar","Maluku","","Kaimana","Papua Barat","","","","","","","","","","","","","","","",""
"161","Kab. Kep. Yapen","Papua","","Kampar","Riau","","","","","","","","","","","","","","","",""
"162","Kab. Kerinci","Jambi","","Kapuas","Kalimantan Tengah","","","","","","","","","","","","","","","",""
"163","Kab. Ketapang","Kalimantan Barat","","Kapuas Hulu","Kalimantan Barat","","","","","","","","","","","","","","","",""
"164","Kab. Klaten","Jawa Tengah","","Karanganyar","Jawa Tengah","","","","","","","","","","","","","","","",""
"165","Kab. Klungkung","Bali","","Karangasem","Bali","","","","","","","","","","","","","","","",""
"166","Kab. Kolaka","Sulawesi Tenggara","","Karawang","Jawa Barat","","","","","","","","","","","","","","","",""
"167","Kab. Kolaka Timur","Sulawesi Tenggara","","Karimun","Kep. Riau","","","","","","","","","","","","","","","",""
